"","g__Turicibacter","g__Parabacteroides","g__[Ruminococcus]","g__Sutterella","f__Peptostreptococcaceae_g__","g__Ruminococcus","g__Veillonella","g__Bacteroides","g__Eggerthella","g__Faecalibacterium","g__Coprococcus","f__Lachnospiraceae_g__","g__Neisseria","g__Haemophilus","g__Blautia","f__Enterobacteriaceae_g__","g__Klebsiella","g__Dorea","g__Dialister","g__Anaerostipes","g__Phascolarctobacterium","g__Staphylococcus","g__Actinomyces","f__Gemellaceae_g__","g__Akkermansia","g__Oscillospira","o__Lactobacillales_g__","g__Adlercreutzia","g__Odoribacter","f__Clostridiaceae_g__","g__Prevotella","g__Roseburia","g__Lachnospira","o__Clostridiales_g__","g__Granulicatella","f__Erysipelotrichaceae_g__","f__Ruminococcaceae_g__","g__Clostridium","g__Streptococcus","g__Aggregatibacter","g__Fusobacterium","g__Conchiformibius","g__Bifidobacterium","g__Collinsella","g__Holdemania","g__[Eubacterium]","f__Rikenellaceae_g__","g__Bilophila"
"1939.SKBTI.0985",0,612,2841,1512,224,107,15,9712,1,7490,156,3207,1,181,203,104,2,91,257,51,2,0,0,4,0,26,1,0,4,72,6,1624,2,450,4,756,439,43,62,1,15,3,11,0,1,600,48,2
"1939.SKBTI.0995",0,1980,4051,202,1,86,202,27881,38,7578,1,2124,0,1262,104,22,4,0,4,0,831,0,1,574,1,298,0,0,5,0,0,0,0,58,3,2915,167,0,34,42,1318,453,1,0,0,142,13,957
"1939.SKBTI.1024",0,1,936,3,22,0,430,8429,15,1677,12,787,5,59,161,1539,1,858,1,0,0,0,4,0,0,111,0,0,0,85,2,12,67,2788,8,294,323,0,24,11,0,0,0,1,0,67,4,0
"1939.SKBTI.1029",3,5516,1906,386,158,41,518,14517,35,3917,272,2711,0,1444,36,224,1,221,60,82,1,0,0,4,0,38,0,0,1,45,0,565,4,692,0,1280,685,2,31,10,724,1,55,0,39,464,0,56
"1939.SKBTI.1034",0,918,525,544,1,3,35,14609,7,1381,43,2366,0,830,514,4,0,111,0,0,69,0,10,0,0,74,0,0,1,0,0,5,7,292,2,39,96,0,11,5,0,0,1,0,5,0,657,0
"1939.SKBTI.1035",0,1064,450,935,0,2,85,18972,3,2574,36,2774,0,3325,416,4,0,88,0,0,70,0,44,0,0,78,0,0,0,0,2,3,4,535,13,42,156,0,46,13,0,0,0,0,8,0,442,0
"1939.SKBTI.1052",0,902,491,1384,48,194,41,18035,8,2092,285,2544,3,39,240,14,0,139,1,98,0,0,0,5,1,144,0,0,0,9,1,396,99,1844,2,634,1038,12,29,0,17,0,0,1,12,27,136,31
"1939.SKBTI.1254",0,497,3155,13611,76,1096,302,8703,2,985,208,4965,666,7692,225,181,3,122,2,0,1,2,7,12,0,103,0,0,0,5,0,1320,27,1927,139,771,498,0,300,142,995,3,9,0,54,2927,109,61
"1939.SKBTI.1033",0,13,307,7,1,20,7,522,0,739,2008,3263,0,11,2,9535,0,33,6,0,1,0,0,0,0,0,0,0,1,0,0,47,72,1285,0,2371,72,0,1,0,17,0,141,33,1,0,3,1
"1939.SKBTI.1048",6,1192,254,2933,9,225,2,33893,0,3974,167,4003,0,36,231,12,0,95,1,11,0,0,1,0,27,1230,0,59,121,0,0,250,161,2520,11,294,1845,21,31,4,0,0,2,3,55,20,1588,272
"1939.SKBTI.1258",0,669,497,524,6,15,7,14538,11,1348,86,704,0,48,306,71,0,119,33,0,5,0,9,0,16,538,0,0,206,1,0,76,0,619,0,92,380,0,22,18,110,0,0,12,50,9,1296,50
"1939.SKBTI.1282",0,50,0,167,0,0,10,434,0,89,0,89,0,71,7,3920,16,0,0,0,0,0,0,0,0,2,0,0,0,0,3,4,0,0,0,6,4,0,63,27,3,0,0,0,0,0,1,0
"1939.SKBTI.1283",0,688,1915,77,0,12,107,11368,5,4786,563,3199,0,268,90,138,0,261,2,0,0,0,0,1,0,123,1,0,16,0,1,8,0,649,2,263,472,2,29,4,57,95,67,221,1,6,10,166
"1939.SKBTI.1295",0,20,108,8,0,2,55,2154,0,683,1,37,0,300,8,12148,0,16,11,0,1,0,6,29,0,0,33,0,0,0,1,1,1,5,21,2,41,1462,253,4,73,0,15,0,0,1,15,0
"1939.SKBTI.1296",0,0,59,1,0,0,57,1010,0,246,0,13,0,138,0,11329,0,0,0,0,0,5,0,6,0,0,8,0,0,0,0,1,0,0,2,0,15,599,92,18,8,4,0,0,0,0,1,0
"1939.SKBTI.1308",0,1472,1085,2228,0,34,15,19883,16,570,35,2490,0,625,636,1281,2,51,1,0,385,0,1,0,1,96,0,0,417,0,0,865,0,241,2,722,784,9,39,27,847,0,31,92,38,5,978,62
"1939.SKBTI.1324",0,3,4,659,0,0,8,4113,0,264,0,44,0,77,3,17235,0,0,1,0,0,0,4,5,8,0,6,0,0,0,0,1,0,0,11,0,5,0,70,56,0,1,0,1,0,0,1,1
"1939.SKBTI.1332",0,56,46,2,0,10,7,349,7,57,8,38,0,24,29,19010,423,0,1,0,0,3,4,0,1,0,0,0,4,0,2,21,14,26,0,21,41,5,0,0,12,611,10,0,0,0,0,0
"1939.SKBTI.1333",0,24,29,2,0,0,8,331,0,4,0,54,0,1,2,25115,492,11,0,0,8,0,0,0,0,17,1,0,0,0,0,0,1,9,0,10,12,0,2,5,95,1232,0,0,0,2,0,1
"1939.SKBTI.1336",6,60,91,550,0,1,52,9567,0,731,3,462,1,4231,8,3907,0,7,498,0,0,0,0,0,0,17,0,0,63,0,6,0,0,40,22,10,43,0,12,40,9443,0,0,5,2,0,13,455
"1939.SKBTI.1338",0,5996,2,5034,1,1,255,15528,0,5,2,19,0,59,2,2803,1,2,3,0,0,0,2,0,1,0,6,0,627,0,3,3,0,4,4,331,1028,0,14,0,46,0,35,0,0,46,46,1
"1939.SKBTI.1339",0,10,4,4,0,0,3,102,0,0,0,6,0,1829,1,8033,0,0,0,0,7,5,0,0,0,0,0,0,9,0,0,0,0,8,2,0,22,0,32,0,148,0,0,0,0,0,0,0
"1939.SKBTI.1340",0,5,33,13,0,2,64,144,0,134,0,27,5,7514,8,4204,1,3,2,0,1,0,10,7,0,1,0,0,1,1,2,0,0,6,17,8,22,0,82,657,38,2,11,0,0,2,2,0
"1939.121461",5,1,1330,753,167,1740,37,21483,103,3087,87,3220,0,89,409,1762,1,160,2,0,0,0,12,6,9,482,202,165,93,37,1,1077,1,1261,1,835,1810,114,538,0,0,0,72,1250,25,177,987,370
"1939.SKBTI.1276",0,819,1875,2301,5,9,48,22128,37,1598,109,2499,0,206,183,73,1,257,1,0,54,0,7,0,13,484,0,0,0,2,6,12,0,349,0,84,318,0,9,4,6,0,3,1,6,22,512,1
"1939.SKBTI.1279",0,10,785,180,17,20,29,18550,0,2805,29,1265,0,411,20,1237,1,417,2,0,13,0,0,2,2,19,1,0,0,51,1,8,0,202,3,719,261,63,21,50,81,3,8,21,0,4,2,1
"1939.SKBTI.1323",0,921,128,1407,0,4,6,11218,0,178,1,622,0,229,123,1527,1,16,1,0,142,0,0,0,0,54,0,0,153,0,2,247,2,88,0,128,162,0,1,10,745,0,0,0,11,1,514,23
"1939.121452",0,3,11,0,1,3,5914,13,0,5,3,1237,0,2,5,1644,2194,0,7,0,0,0,0,0,2,2,0,1,0,0,0,0,0,55,0,4,4176,1,2955,0,1611,0,5,3,0,0,2,0
"1939.121464",0,0,11795,0,1078,48,399,27,478,2,1070,16009,0,155,16,2060,5,5467,5527,0,0,0,10,12,2,469,1,0,0,186,0,591,2,2585,5,467,488,4,363,4,3205,0,7,0,110,906,0,0
"1939.120156",0,827,185,2375,83,107,8,26589,2,2084,90,748,0,23,350,10043,27,54,7,25,136,0,0,0,1,139,101,13,177,19,1,1068,1511,610,1,337,1241,148,67,0,0,0,25,2,19,6,839,108
"1939.120155",44,1332,662,219,358,3285,0,13747,17,7364,670,3099,0,678,1837,119,13,95,2397,0,0,0,2,1,1,171,19,1,0,29,0,781,208,3645,0,439,558,211,775,2,0,0,1689,1,64,40,370,0
"1939.120157",9,8,104,48,224,593,317,1225,23,12766,1333,9376,0,1449,4294,14,3,567,6451,168,1,14,17,8,25,20,2,74,0,2,0,209,160,7080,16,277,3369,953,3987,0,0,0,5384,5,0,61,80,1
"1939.121154",62,2225,84,1104,41,2954,120,11317,40,12637,506,4305,0,695,2516,7,0,279,2793,320,0,0,8,1,2,182,3,185,161,18,0,1990,690,4273,2,2001,5371,99,463,0,0,0,522,2,27,125,1541,270
"1939.121181",13,3,5631,21,849,418,33,1355,1237,3931,299,6812,0,33,4927,84,1,1209,25,0,349,2,71,37,0,84,1,1876,0,59,1,1697,3,1764,95,911,2252,299,6554,0,7,0,11895,5,10,44,1,0
"1939.121183",2,20,2655,16,271,544,7,25810,143,206,771,2220,1,18,1056,3937,0,817,2191,1,1,0,15,9,0,1105,1,1,1,75,1,628,153,1995,20,684,1011,1,1982,0,1,0,1663,2381,206,356,6,3
"1939.121196",1,600,237,121,14,399,302,7067,56,8934,193,3230,0,119,2114,5,0,80,350,0,0,0,5,6,0,312,0,223,0,1,1,18,449,617,10,81,800,337,3350,0,0,0,633,0,23,166,374,115
"1939.121197",0,1,1847,5,705,493,3,2060,136,6,976,10636,0,8,13021,1373,1,1277,14,2067,0,0,1,4,4,1035,1,1,0,2,3,1030,110,3545,20,497,2981,2,266,0,0,0,8,5669,14,7601,3,0
"1939.121182",3,1649,488,494,207,1147,13,8472,30,6657,577,2910,0,40,1175,9,1,135,2962,0,0,0,0,0,0,277,0,111,0,50,0,3861,3939,1990,1,1360,3984,1111,914,0,2,0,713,0,65,24,843,2
"1939.121201",3,2,1132,2,1658,30,109,20,15,4,18,14387,36,452,593,3873,5,1761,121,0,0,1,5,10,44,2840,1418,1,0,293,0,71,413,14683,36,8274,1131,13,221,13,40,2,16,1,0,2917,1,2
"1939.121216",4,3,1732,1,146,1087,161,20104,0,5110,615,1763,0,164,4732,742,0,1210,11,1,1181,1,2,383,1,412,2,1,0,51,4318,1539,3,345,1,872,2518,2,424,1,182,10,528,5,226,2503,5,1
"1939.121217",3,0,4745,2,829,15,1733,29,0,6,1,23,4,12479,10,7,1,2,7,0,1,3,95,169,0,0,67,0,0,6,1,1,0,4,403,2,8,33,18312,0,740,3,1,1,0,2,0,0
"1939.121218",7,2647,3389,3,1201,932,3,1436,511,2118,37,6622,0,4,9378,244,1,84,1982,0,0,0,71,6,0,461,6,0,0,122,0,773,3,2420,13,360,1383,8,2233,0,0,0,3138,8,0,1162,247,0
"1939.121279",3,627,2107,1112,31,169,3,11436,0,9825,582,3231,0,261,5768,142,0,389,7,107,780,0,8,3,784,270,2,116,66,161,0,2252,740,2669,7,1488,5762,696,283,0,1,0,7,123,46,12,2119,518
"1939.121280",0,131,7805,312,974,22,149,410,630,343,130,1454,0,1501,334,25,0,1355,3970,0,0,0,44,82,1,69,2,0,1,199,0,3215,2,2860,108,371,41,33,13510,14,1,3,5939,1,0,1773,2,43
"1939.121281",0,1,14055,370,4,39,764,573,173,6,0,4671,0,1,3809,633,0,3,5,0,0,1,49,26,20206,48,1,0,0,0,0,3,2,460,90,839,4057,2,1585,0,4,0,2944,2,0,861,0,0
"1939.121283",1211,2,10450,1,437,86,363,8,370,3,3,1395,0,991,17,2722,224,94,4,0,0,0,6,5,4,70,15,0,0,286,0,4811,3,4736,11,3425,505,9,1218,0,4,0,106,3,0,2,2,0
"1939.121213",0,1,3603,42,4012,57,129,851,228,1,1007,9067,0,1,5264,48,2,3601,1,1,1,0,9,3,26,17,0,0,0,665,0,601,1,15495,19,934,214,1069,87,0,1,0,586,2,0,4964,48,0
"1939.121307",48,1081,448,4173,57,1179,1,10972,99,1473,1127,3083,0,5,1338,1240,2,326,4973,0,1,0,15,4,1978,335,0,114,0,7,0,324,2,4957,9,30,1509,102,200,0,0,0,3149,4484,34,158,2,0
"1939.121310",8,283,1074,51,1729,1579,207,1744,116,1889,2736,5642,0,4036,8933,481,1,1397,89,199,576,0,18,6,29,712,11,373,3,1050,40,12,0,1193,9,8,4720,5,1000,0,4,0,4271,4314,53,200,19,2
"1939.121312",1,1,848,2,443,113,1855,40,0,21,27,142,0,37,178,13971,3392,178,118,0,0,3,57,115,52,18,3064,0,0,87,0,55,3,54,230,70,563,5206,1625,17,60,0,12,5,2,12,0,1
"1939.121404",1,7,211,7,15,23,777,130,10,432,83,200,0,204,223,8016,14,74,15,7,4,2405,1,128,3,9,21,0,0,80,85,136,3,76,514,1261,652,9,5759,0,25,0,96,5,1,11,43,18
"1939.121446",1149,5,5642,6,2501,3431,68,57,8,719,1241,6050,0,224,7354,12,1,1391,7,60,2,1,19,7,0,618,2,138,0,193,103,199,21,1975,7,4899,4141,73,2385,28,3,0,656,1367,42,20,6,0
"1939.121450",1,20,2508,29,798,102,0,230,5,1057,1329,2548,0,4,6963,1130,1,1925,1011,0,0,0,11,1,1,266,25,0,0,4,3970,35,4,1600,14,50,1853,1,321,1,0,0,2660,30,0,1,14,2
"1939.121313",176,72,4617,3,1044,367,17,462,107,14934,3287,3653,0,23,5611,13,0,436,4786,16,0,1,6,18,0,168,0,10,0,146,249,523,17,1454,41,9180,2206,32,10871,2,1,0,2518,469,64,113,1,0
"1939.121388",0,3,3,1,0,0,674,25,0,0,0,4,0,7805,7,4,0,1,5,0,0,631,31,18,1,0,1,0,0,0,0,1,0,4,184,13,57,2,3692,0,4,0,14,2,0,0,0,0
"1939.121422",0,0,7598,0,302,0,443,12,0,2,27,5302,0,532,4,886,2,424,4,0,0,0,6,7,0,1,67,0,0,230,0,4,3222,2150,16,1832,704,1022,467,0,2,0,1,2,276,3647,0,0
"1939.121449",0,132,9,0,2212,0,103,380,0,5417,2,70,0,110,9535,1473,61,1162,2,0,0,1,52,37,0,0,86,0,0,859,0,2,2042,1130,109,4665,214,23,1511,8,113,0,1490,3,0,664,0,0
"1939.121451",1,1,1780,0,40,32,1754,94,1,517,52,249,11,1972,975,218,8532,125,26,0,0,0,30,9,0,12,2,0,0,16,0,17,1,30,42,172,211,4334,1500,80,17,0,275,2,2,1,2,0
"1939.121405",0,10,1657,6,600,1847,4,64,12,20,572,1355,0,6,2910,2143,2,1243,2,23,2,0,27,12,6499,4,0,26,0,142,3,154,0,865,23,682,178,788,1480,1,1,0,8,105,0,636,5,4
"1939.121402",158,37,4386,7,1379,1579,2,968,3038,1814,1057,2322,0,2,10114,1802,0,5511,182,0,511,4,22,1,0,1091,324,77,2,456,0,252,2,1113,3,5568,466,548,337,0,416,0,2199,1,17,1218,0,5
"1939.121385",1,127,3219,3,1313,289,1,1629,168,1639,1341,5651,0,3,5657,89,0,2078,4087,37,0,1,17,14,0,1170,1,610,3,214,0,536,0,5217,6,14602,6841,71,79,0,0,0,3477,1824,107,1641,57,0
"1939.121444",1,1923,6397,137,10,3422,3,7547,10,8,4517,1159,0,0,11434,14,4,1172,9,0,1378,0,3,0,0,438,2,0,119,0,332,2,1,436,0,534,750,2,105,0,0,0,8,0,1,1681,1023,0
"1939.121469",27,0,806,0,112,1243,6,6384,205,3061,74,1582,0,1,1467,47,0,183,2656,0,0,0,7,5,0,70,2,0,0,2,1,631,37,3303,9,453,459,281,2302,1,0,0,0,0,7,39,1,0
"1939.121474",3,22,59,9,6,33,861,139,6,161,15,74,0,4,87,22,0,11,56,0,2,1,180,70,14,12,4,0,0,1,0,39,4,153,916,37,158,11,1603,1,4,0,16,3,3,4,8,1
"1939.121480",0,0,4,56,127,11,383,6,0,5,1,5,0,20,8,2630,0,792,6,1,0,1,3,4,0,1,315,0,0,26,0,8,92,15,14,2,60,805,265,0,514,0,96,2,0,0,1,0
"1939.121492",0,0,0,0,0,1,755,1,0,0,0,1,0,1811,0,403,2,0,0,0,0,31,11,44,0,0,10,0,0,1,0,0,0,0,237,0,22,1,2940,0,2,0,1,0,0,0,0,0
"1939.121497",0,1,2,0,4,0,52,2,0,4,1,5,0,4,3,5727,77,2,4,0,0,0,3,5,0,0,0,0,0,0,0,1,0,2,66,2,6,0,351,0,8,0,1,0,0,0,0,0
"1939.SKBTI.0731.b",0,1679,1148,815,9,81,4,25239,0,6365,133,3062,2,1433,499,3011,0,257,454,64,128,0,0,1,3,774,0,0,153,6,7,3,14,641,44,312,1445,2,90,1,24,0,95,0,62,239,397,602
"1939.SKBTI.0282.a",13,1197,1075,3,1,460,377,7736,0,1722,62,3466,0,215,499,10,0,60,1,0,0,0,34,0,0,110,0,0,0,0,3,0,0,146,22,2162,524,0,18,0,19,6,3,0,0,329,308,1235
"1939.SKBTI.0746",0,34,283,143,904,2,84,2460,0,1,0,31,0,3387,4,3583,0,14,3,1,0,0,12,1,0,0,1,0,0,355,2,0,0,2,52,1311,17,6,96,60,8,0,26,0,0,36,2,16
"1939.121470",16,185,166,412,55,35,3,1548,12,10067,1166,2077,0,5,3093,8,0,563,5,106,0,0,7,2,0,41,0,96,1,18,1,336,19,3226,5,4539,2287,77,128,0,0,0,2789,1397,5,32,0,3
"1939.121473",0,0,21,3,105,27,40,79,10,49,4,49,0,15,79,826,24,5,34,0,0,41,47,22,3,0,587,1,0,39,0,19,8,118,91,56,65,4,2433,0,0,0,11,5,0,1,1,0
"1939.121495",0,2041,278,0,35,153,1,6889,70,0,305,554,1,2,765,10,2,78,535,0,0,0,4,1,0,249,131,440,0,8,0,977,46,215,1,258,312,55,154,1,1,0,0,3,33,70,0,0
"1939.121471",24,25,854,0,659,16,74,220,173,1771,363,767,0,88,1293,55,0,32,2264,0,1,0,4,1,0,16,1,0,0,182,0,563,2,192,1,73,181,2,1313,3,0,0,2671,0,9,42,1,1
"1939.SKBTI.0444",1,907,2225,959,29,13,22,11894,0,1245,536,4581,23,556,582,147,1,524,1,0,260,10,0,0,4,35,1,0,24,15,5,764,0,3802,5,1713,763,0,49,35,2,0,578,75,10,40,76,95
"1939.SKBTI.0333",0,449,371,319,28,1,17,8964,0,1151,24,392,0,2,108,7563,0,61,23,14,5,0,1,2,2,0,2,0,0,10,1,126,1,47,12,138,84,0,28,0,32,0,14,0,0,0,89,35
"1939.SKBTI.0204.a",0,170,449,669,0,0,32,10317,38,1833,85,1108,0,47,133,247,2,439,92,0,0,0,0,0,0,411,0,0,0,27,3,109,0,233,10,631,428,6,36,0,38,0,8,1,93,7,415,206
"1939.SKBTI.0253.a",1,33,377,815,54,2,78,16654,0,1064,819,3268,0,137,572,11,0,101,805,27,209,0,0,3,1,1,0,0,2,13,119,400,205,3572,2,446,822,0,5,0,2,4,152,10,0,2,11,160
"1939.SKBTI.0750",0,340,679,1949,0,0,1,12772,0,259,257,2635,1,3,349,13,0,114,879,0,0,9,0,0,0,204,0,0,98,1,9,19,0,448,0,342,422,13,12,0,12,0,35,0,0,89,148,328
"1939.SKBTI003.b",0,60,283,579,0,3,5,1380,0,242,14,438,5,24,2,43,0,30,1,0,0,33,0,1,0,81,0,0,25,1,119,13,0,85,2,31,430,0,103,0,2,0,69,6,5,19,187,21
"1939.SKBTI028",0,49,1437,3160,0,6193,54,108241,1,1838,479,24918,34,50,719,11906,51,326,46,24,8024,7,13,8,44457,4126,13,0,1904,2,11,111,5,11861,13,1876,7334,29,153,19,301,0,295,224,125,68,45108,4815
"1939.SKBTI009",0,934,2758,7311,0,3,69,48108,20,1441,1,2155,28,37,4,19958,1,2664,1303,0,2,18,50,87,6,143,0,0,2,10,7,15,3,55,51,2372,148,1,197,43,3760,46,19,1,0,0,4,918
"1939.SKBTI011",0,408,256,2734,11,31,82,6940,0,5577,40,1667,4,1721,13,789,48,26,281,0,0,3,1,4,11,42,0,0,1,3,1,2,0,190,3,602,270,3,15,58,2413,0,90,45,0,5,17,149
"1939.SKBTI019",0,46,641,375,0,30,167,3517,16,2544,21,2114,17,5196,458,890,35,40,285,0,0,59,61,24,2,163,0,0,0,0,6,15,1,481,16,407,282,1,636,84,447,1,135,114,0,0,33,214
"1939.SKBTI024",0,3118,985,6791,1,0,59,25433,0,83,53,4396,8,20,360,11,0,0,14,0,1,10,12,137,2,27,1,0,0,1,1,21,1,122,53,5968,392,0,572,1,6,0,0,396,5,0,8,1
"1939.SKBTI025",0,2684,919,3323,0,8,166,21055,0,2932,53,2513,8,684,62,244,0,134,1,0,0,125,9,5,27,126,0,0,10,0,75,30,0,1051,52,148,722,0,307,96,111,32,124,36,0,1,4,645
"1939.SKBTI029",0,1433,3392,6689,739,15,83,40845,10,21307,724,15492,14,335,1176,207,3,462,3,622,0,16,10,14,39,68,1,0,3,32,156,617,199,9787,26,428,2000,0,117,41,7,0,404,229,138,97,12,806
"1939.SKBTI013",0,81,27,2652,1,3,215,2005,0,112,1,59,55,8037,15,25199,57,12,32,0,0,40,1,10,10,1,4,0,1,2,10,3,1,11,15,24,206,0,680,94,5434,26,135,1,0,0,10,5
"1939.SKBTI033",0,1426,985,4511,0,11,761,25125,11,8520,384,2462,77,2020,107,41,0,162,2,3,96,20,6,8,6,606,0,0,39,0,8475,97,0,347,29,142,1062,1,195,3,50,4,356,234,0,1,72,694
"1939.SKBTI048",0,17,2966,15,482,0,890,191,26,139,69,1061,20,2219,57,1885,28,2378,2,1,0,5,16,33,14,3,0,0,0,305,9,50,1,1698,37,4783,1263,1521,407,199,514,127,10,0,0,2709,3,0
"1939.SKBTI036",74,29,2064,3553,245,486,34,16251,16,39609,4391,8938,54,110,2570,239,93,364,542,234,1,3,1,22,8,657,2,16,2,118,5,1316,1455,6007,11,6137,5512,289,64,8,20,0,6189,1,281,75,4979,3
"1939.SKBTI039",0,215,398,459,3,74,63,51958,22,12952,134,1418,46,157,98,193,1,491,36,1,753,4,13,29,13,686,5,0,2,3,8,153,0,1997,13,285,2561,0,104,117,49,0,20,18,6,2,91,484
"1939.SKBTI043",0,16,329,125,280,14,676,11182,45,267,105,2476,577,2176,225,2155,47,455,35,0,0,1,61,50,1,66,0,0,0,89,4,124,63,693,177,814,2057,95,1469,67,1719,229,26,58,26,6,3,19
"1939.SKBTI049",0,3482,2715,15783,62,76,614,21649,12,3674,1424,11877,26,505,1074,414,3,645,4,0,353,13,235,40,50,473,0,0,3,16,8,3808,1777,2185,149,2598,3916,8,1123,6,278,5,1140,196,42,54,88,297
"1939.SKBTI050",0,2,817,2061,0,11,771,21311,69,4898,0,2707,14,88,23,10854,0,211,267,0,0,9,28,318,4,36,0,0,0,0,1,1,0,1152,159,440,2879,0,941,717,849,18,73,0,0,23,35,520
"1939.SKBTI053",36,6756,3054,10,569,974,35,40202,54,8417,558,5854,7,42,705,159,0,522,3793,292,0,3,9,12,10,809,0,36,534,50,2,7263,0,4570,15,312,3623,177,128,2,36,3,1,1,166,123,9,9
"1939.SKBTI057",0,32,3006,4346,8,76,2778,44272,4,15395,3304,14130,440,7543,1518,567,18,2548,4,1,1221,15,29,56,27,2109,0,21,3926,1,26319,367,136,24355,73,2758,9534,33,1592,1200,250,3,9,73,309,356,4886,2201
"1939.SKBTI058",0,117,61,159,0,37,132,1034,0,383,30,320,19,21677,63,7,0,28,2,0,1,11,61,35,107,76,8,0,36,0,1,11,15,98,94,38,148,9,1160,1638,71,0,0,32,0,0,114,27
"1939.SKBTI062.b",47,80,649,877,137,1,142,1485,0,1751,1,538,10,1238,91,18246,0,123,26,0,21,44,59,292,74,65,0,21,9,53,2,0,0,245,282,418,756,0,1273,98,28,0,104,12,0,58,8,1
"1939.SKBTI064",503,587,1206,3756,803,187,151,27180,2,4834,967,2461,86,19753,348,1220,6,227,14,14,27,20,13,341,23,79,5,0,4,11696,11,1295,1043,3081,41,3759,795,0,898,68,88,2,376,115,27,1170,105,113
"1939.SKBTI065",0,8,251,570,106,36,115,7480,0,4200,21,1667,19,15,264,146,1,107,608,1,1,64,4,4,7,112,1,0,18,41,2,472,20,1634,20,217,752,0,111,24,69,0,116,7,16,70,185,0
"1939.SKBTI066.b",0,75,229,81,14,0,167,4087,0,1661,1,742,3,2277,5,9538,2,71,0,0,2,9,13,0,0,19,0,0,0,78,2,0,0,78,0,200,68,0,130,3608,79,8,19,0,0,0,4,41
"1939.SKBTI052",18,7310,6418,713,112,920,30,15785,0,1852,304,3882,19,81,533,118,1,149,10,0,1,59,2,8,45,1486,0,0,77,15,18,350,29,450,9,322,1551,0,211,0,38,0,5131,483,36,148,1031,1023
"1939.SKBTI059",0,416,706,2616,0,6,92,15000,0,914,144,4012,7,4,535,46,1,162,2393,7,0,15,7,1,1,474,0,0,99,0,0,1,0,610,7,104,468,0,43,6,53,0,54,0,53,17,299,958
"1939.SKBTI070",0,707,78,1194,12,11,49,23175,0,1324,6,1087,26,327,136,10,0,50,349,3,136,2,11,3,29,64,0,0,118,3,54,30,5,187,4,136,1163,1,24,19,26,0,46,14,48,2,59,7
"1939.SKBTI071",0,2224,1470,27,10,6,443,10918,3,315,58,1016,7,15,368,1649,0,949,555,4,8,4,4,10,5,346,0,0,2,3,128,47,47,409,7,295,663,0,37,0,3305,33,203,85,12,70,813,0
"1939.SKBTI074",2,324,692,42,6,18,17,21088,20,7595,14,1876,5,505,9,153,0,94,2380,0,0,0,0,7,6,323,1,0,0,71,2,49,4,676,4,124,415,0,48,77,435,3,20,0,0,8,469,741
"1939.SKBTI075.b",0,151,754,39,0,33,39,10136,0,3920,71,1226,11,180,13,2414,1,53,609,0,0,38,0,1,3,37,1,0,0,0,1,0,539,391,2,407,574,0,65,2,12,0,151,31,0,1,50,130
"1939.SKBTI077",0,1382,1308,1857,21,1126,132,19429,8,10186,456,2649,17,340,540,9,1,156,22,10,483,3,20,23,10,822,0,0,318,6,11,511,31,1990,4,273,2803,14,259,3,21,0,148,39,0,0,1793,803
"1939.SKBTI079",0,6441,880,558,7,268,34,48354,9,9091,230,2973,11,59,763,27,1,1,7537,0,1,20,2,32,3,591,4,0,1,4,3,91,1,554,7,80,10061,0,58,0,18,0,30,0,58,26,1320,357
"1939.SKBTI086",0,1211,484,1109,39,14,74,31538,14,820,187,1764,5,25,946,14,0,134,0,0,405,0,15,5,2,384,0,0,312,37,1,2885,0,150,32,177,5283,0,139,1,15,0,0,1,49,90,996,230
"1939.SKBTI093",0,11561,2473,3481,473,1103,52,46403,5,8223,773,7940,26,156,1766,399,1,684,229,103,2516,7,22,6,4430,646,0,8,431,122,31813,1081,161,4456,5,664,6245,93,132,17,114,0,2011,24,172,37,5289,594
"1939.SKBTI095",0,720,208,1371,0,6,181,14772,0,712,63,1972,56,5576,92,2211,0,139,4,0,86,1,27,55,0,78,1,0,18,0,1,5,0,227,43,65,361,2,470,411,125,11,1,8,0,2,273,375
"1939.SKBTI096",1,5187,2462,7445,1,92,85,38138,15,10326,29,2993,105,1531,1220,17055,6,83,25,0,1134,44,11,75,28,522,1,0,927,0,23,19,2,2179,13,292,1569,2,132,52,435,1,20,4,3,42,4843,177
"1939.SKBTI076.b",0,275,622,1088,99,689,5,9770,0,3327,136,1082,4,27,218,46,6,76,23,62,217,12,0,2,3,191,0,6,118,23,1,760,104,575,1,277,2203,34,6,0,39,0,59,105,0,18,3,275
"1939.SKBTI081",72,1740,109,485,61,460,20,13513,0,3847,159,880,20,144,299,101,1,111,4,0,243,29,3,14,6274,268,0,0,306,10,5,264,96,1258,3,81,1625,4,38,4,11,0,416,30,6,2,1331,118
"1939.SKBTI.0112.b",0,133,58,645,0,3,184,3252,0,183,21,276,0,342,20,482,0,66,590,0,0,180,31,21,0,114,1,0,103,0,2,0,0,64,2,9,164,0,304,14,239,0,0,4,0,0,41,8
"1939.SKBTI.0128",0,813,886,921,5,29,193,19676,1,9390,25,1404,6,1173,29,6532,0,6,907,5,101,0,0,26,270,108,0,6,138,1,2,62,5,323,15,796,590,50,280,53,1632,0,92,112,4,7,156,305
"1939.SKBTI.0139",0,2928,687,3,4,30,202,18705,7,4,31,3392,0,139,21,169,1,403,0,0,551,3,4,6,1,198,0,0,21,11,1,3,0,644,2,3,99,4,19,8,7147,0,40,127,0,14,6,1
